Abkürzung,Zeilen_gesamt,Einträge,Beispiel_1,Beispiel_2,Auflösung
Bergm.,26863,16,Bergm.,"Wilh., Bergm.",Bergmann
Inval.,7593,8,Inval.,"Heinr., Inval.",Invalide
Kaufm.,5298,29,Kaufm.,Dipl. Kaufm.,Kaufmann
Führ.,2632,51,Kraftw. Führ.,Lok. Führ.,Führer
Ob.,2535,493,Pol. Ob. Wachtmstr.,Ob. Ingen.,Ober
Fabrkarb.,1815,3,Fabrkarb.,"Fabrkarb., Overbergstr. 2 Erdg",Fabrikarbeiter
Kraftw.,1612,7,Kraftw. Führ.,Kraftw. Führer,Kraftwagen
Angest.,1399,39,kfm. Angest.,Angest.,Angestellter
Reichsb.,1342,193,Reichsb. Assist.,Reichsb. Beamt.,Reichsbahn
Pol.,1218,120,Pol. Ob. Wachtmstr.,Pol. Hauptwachtmstr.,Polizei
Bürobeamt.,1124,9,Bürobeamt.,Bürobeamt. a. D.,Bürobeamter
Beamt.,1038,105,Pol. Beamt.,Beamt.,Beamter
Werkmstr.,923,12,Werkmstr.,Werkmstr. a. D.,Werkmeister
Rbhn.,883,135,Rbhn. Bedienst.,Rbhn. Assist.,Reichsbahn
Sekr.,864,129,Reichsb. Ob. Sekr.,Reichsb. Sekr.,Sekretär
Straßenb.,807,21,Straßenb. Schaffn.,Straßenb. Führ.,Straßenbahn
Ingen.,792,33,Ingen.,Ob. Ingen.,Ingenieur
Bauarb.,738,8,Bauarb.,Ob. Bauarb.,Bauarbeiter
Schankw.,734,9,Schankw.,Schankw. Vertret.,Schankwirt
Schaffn.,703,29,Straßenb. Schaffn.,Straßb. Schaffn.,Schaffner
Assist.,701,76,Reichsb. Assist.,Betr. Assist.,Assistent
Lok.,682,39,Lok. Führ.,Res. Lok. Führ.,Lokomotive
Ing.,667,77,Dipl. Ing.,Ob. Ing.,Ingenieur
Inspekt.,650,121,Reichsb. Ob. Inspekt.,Just. Inspekt.,Inspektor
Dipl.,625,64,Dipl. Ing.,Dipl. Ingen.,Diplom
Berginval.,623,1,Berginval.,,Berginvalide
kfm.,618,29,kfm. Angest.,kfm. Beamt.,kaufmännischer
Wachtmstr.,587,32,Pol. Ob. Wachtmstr.,Pol. Wachtmstr.,Wachtmeister
Bedienst.,572,11,Straßenb. Bedienst.,Rbhn. Bedienst.,Bediensteter
Kolonialwr.,564,1,Kolonialwr.,,Kolonialwaren-Händler
Schneidermstr.,531,1,Schneidermstr.,,Schneidermeister
Vorarb.,526,5,Vorarb.,Telegr. Vorarb.,Vorarbeiter
Fuhrm.,499,1,Fuhrm.,,Fuhrmann
Betr.,491,85,Betr. Assist.,Reichsb. Betr. Assist.,Betriebs
Arbeit.,483,15,Arbeit.,Telegr. Arbeit.,Arbeiter
Postschaffn.,474,6,Postschaffn.,Ob. Postschaffn.,Postschaffner
Hilfsarb.,455,2,Hilfsarb.,wissenschaftl. Hilfsarb.,Hilfsarbeiter
Arb.,401,22,Telegr. Arb.,Arb.,Arbeiter
Buchhalt.,349,5,Buchhalt.,Betr. Buchhalt.,Buchhalter
Just.,342,49,Just. Inspekt.,Just. Ob. Sekr.,Justiz
Hausmstr.,337,3,Hausmstr.,Hausmstr. a. D.,Hausmeister
Telegr.,331,70,Telegr. Arb.,Ob. Telegr. Sekr.,Telegraphen
Schreinermstr.,321,5,Schreinermstr.,Schreinermstr. a. D.,Schreinermeister
Geschäftsführ.,318,5,Geschäftsführ.,Geschäftsführ. Aspirant,Geschäftsführer
Stadtinspekt.,316,11,Stadtinspekt.,techn. Stadtinspekt.,Stadtinspektor
Metzgermstr.,308,2,Metzgermstr.,Metzgermstr. a. D.,Metzgermeister
kaufm.,306,16,kaufm. Angest.,kaufm. Beamt.,kaufmännischer
Kranführ.,301,1,Kranführ.,,Kranführer
Elektromont.,297,1,Elektromont.,,Elektromonteur
Landw.,297,12,Landw.,Landw. Arb.,Landwirt
Hauptwachtmstr.,295,14,Pol. Hauptwachtmstr.,Hauptwachtmstr.,Hauptwachtmeister
Bäckermstr.,293,6,Bäckermstr.,Bäckermstr. i. R.,Bäckermeister
techn.,284,99,techn. Stadtinspekt.,techn. Lehrerin,technischer
Bürovorsteh.,274,7,Bürovorsteh.,Bürovorsteh. a. D.,Bürovorsteher
Bankbeamt.,262,2,Bankbeamt.,Bankbeamt. a. D.,Bankbeamter
Straßb.,261,15,Straßb. Schaffn.,Straßb. Bedienst.,Straßenbahn
Tabakwr.,259,6,Tabakwr.,"Tabakwr., Großhdlg.",Tabakwaren-Händler
Inh.,241,22,Inh.,Gesch. Inh.,Inhaber
Tagesarb.,240,1,Tagesarb.,,Tagesarbeiter
Anstreichermstr.,239,3,Anstreichermstr.,Anstreichermstr. a. D.,Anstreichermeister
Friseurgesch.,237,1,Friseurgesch.,,Friseurgeschäft
Schuhmmstr.,235,4,Schuhmmstr.,Orth. Schuhmmstr.,Schuhmachermeister
Milchhdl.,224,1,Milchhdl.,,Milchhändler
Büroangest.,221,3,Büroangest.,Reichsb. Büroangest.,Büroangestellter
Zimmerm.,220,1,Zimmerm.,,Zimmermann
Schuhm.,220,2,Schuhm.,Schuhm. Bedarfsart.,Schuhmacher
Bergarb.,219,1,Bergarb.,,Bergarbeiter
Masch.,217,40,Masch. Schlosser,Masch. Steiger,Maschinen
Kfm.,212,19,Kfm. Angest.,Kfm.,Kaufmann
Lagerarb.,211,2,Lagerarb.,Städt. Lagerarb.,Lagerarbeiter
Eisenb.,204,31,Eisenb. Bedienst.,Eisenb. Arb.,Eisenbahn
Krim.,196,26,Krim. Assist.,Krim. Sekr.,Kriminal
Schuhmach.,195,1,Schuhmach.,,Schuhmacher
Feuerwehrm.,191,4,Feuerwehrm.,Ob. Feuerwehrm.,Feuerwehrmann
Maurerpol.,190,1,Maurerpol.,,Maurerpolier
Fuhrgesch.,178,2,Fuhrgesch.,"Autotransporte, Fuhrgesch.",Fuhrgeschäft
Kraftwführ.,177,1,Kraftwführ.,,Kraftwagenführer
Vertret.,175,18,Vertret.,Gen. Vertret.,Vertreter
Bauführ.,170,10,Bauführ.,Telegr. Bauführ.,Bauführer
Malermstr.,165,2,Malermstr.,Malermstr. u. Bauaustrocknung,Malermeister
Schloss.,164,5,Schloss.,Masch. Schloss.,Schlosser
Angestellt.,163,6,Angestellt.,kfm. Angestellt.,Angestellter
Techn.,162,69,Masch. Techn.,Techn.,Techniker
Zechenbeamt.,156,5,Zechenbeamt.,Zechenbeamt. a. D.,Zechenbeamter
Gastw.,155,3,Gastw.,Gastw. Angest.,Gastwirt
Schachtmstr.,153,2,Schachtmstr.,Ob. Schachtmstr.,Schachtmeister
Stadtsekr.,152,6,Stadtsekr.,Stadtsekr. a. D.,Stadtsekretär
Stadtarb.,144,1,Stadtarb.,,Stadtarbeiter
Zugführ.,140,12,Zugführ.,Zugführ. a. D.,Zugführer
Bahnarb.,140,1,Bahnarb.,,Bahnarbeiter
Kokereiarb.,137,1,Kokereiarb.,,Kokerei-Arbeiter
Bürogeh.,137,3,Bürogeh.,Bürogeh. a. D.,Bürogehilfe
Schlossermstr.,135,2,Schlossermstr.,Schlossermstr. a. D.,Schlossermeister
Reg.,134,52,Reg. Baumeister,Reg. Rat,Regierungs
Postbeamt.,133,3,Postbeamt.,Postbeamt. a. D.,Postbeamter
Rangiermstr.,129,6,Rangiermstr.,Rangiermstr. a. D.,Rangiermeister
Milchhdlg.,128,1,Milchhdlg.,,Milchhandlung
Syndikatsbeamt.,124,2,Syndikatsbeamt.,Syndikatsbeamt. a. D.,Syndikatsbeamter
Postassist.,122,7,Postassist.,Postassist. a. D.,Postassistent
Direkt.,122,49,Direkt.,Landger. Direkt.,Direktor
Postsekr.,119,5,Ob. Postsekr.,Postsekr.,Postsekretär
Stellwerksmstr.,117,8,Stellwerksmstr.,Stellwerksmstr. a. D.,Stellwerksmeister
Handelsm.,115,1,Handelsm.,,Handelsmann
Schmiedemstr.,115,3,Schmiedemstr.,Schmiedemstr. a. D.,Schmiedemeister
Rechtsanw.,114,14,Rechtsanw.,Rechtsanw. u. Notar,Rechtsanwalt
Anstreich.,114,1,Anstreich.,,Anstreicher
Handlgsgeh.,113,2,Handlgsgeh.,kfm. Handlgsgeh.,Handlungsgehilfe
Bauunternehm.,113,2,Bauunternehm.,Bauunternehm. für Hoch- und Tiefbau,Bauunternehmer
Klempnermstr.,112,3,Klempnermstr.,"Klempnermstr., Installateur u. Haushaltwr.",Klempnermeister
Fuhrunternehm.,111,1,Fuhrunternehm.,,Fuhrunternehmer
Leit.,110,22,Betr. Leit.,Abt. Leit.,Leiter
Stud.,106,22,Stud. Rat,Stud. Assess.,Studien
Res.,105,7,Res. Lok. Führ.,Res. Zugführ.,Reserve
Koksarb.,104,1,Koksarb.,,Koksarbeiter
Elektrotechn.,103,10,Elektrotechn.,Elektrotechn. Gesch.,Elektrotechniker
Weichenstell.,99,4,Weichenstell.,Weichenstell. a. D.,Weichensteller
Gemüsehdl.,94,2,Gemüsehdl.,Obst- u. Gemüsehdl.,Gemüsehändler
Fabrikarb.,90,1,Fabrikarb.,,Fabrikarbeiter
Schriftsetz.,89,1,Schriftsetz.,,Schriftsetzer
Kesselwärt.,88,2,Kesselwärt.,Ob. Kesselwärt.,Kesselwärter
