Beruf,Berufsgruppe,Konfidenz
(Vorname Wilhelm),sonstige,auto
"(Vorname Wilhelm) J., Steuerberater",verwaltung,auto
"(Vorname Wilhelm), Arzt",akademisch,auto
"(Vorname Wilhelm), Bergmann",bergbau,auto
"(Vorname Wilhelm), Bürobeamter",verwaltung,auto
"(Vorname Wilhelm), Direktor",verwaltung,auto
"(Vorname Wilhelm), Facharzt für Innere Krankheiten",sonstige,auto
"(Vorname Wilhelm), Gärtner",industrie,auto
"(Vorname Wilhelm), Hufbeschlag",sonstige,auto
"(Vorname Wilhelm), Invalide",haushalt,auto
"(Vorname Wilhelm), Kaufmann",handel,auto
"(Vorname Wilhelm), Rechtsanwalt",akademisch,auto
"(Vorname Wilhelm), Regierungs Assessor a. D.",akademisch,auto
"(Vorname Wilhelm), vorm. Chr., Dachbedeckung",sonstige,auto
(vorm. Heinr. Dickopf) Baugeschäft,handel,auto
"., Berg.",sonstige,auto
A.,sonstige,auto
"A., Maurer",industrie,auto
"A., Vertreter",handel,auto
Abbrucharbeit.,sonstige,auto
Abbruchunternehm.,sonstige,auto
Abflacher,sonstige,auto
Ablader,sonstige,auto
Ableser,sonstige,auto
Abnahme Beamter,verwaltung,auto
Abnahmetechn.,sonstige,auto
Abnehm.,sonstige,auto
Abnehmer,sonstige,auto
Abrechn.,sonstige,auto
Abrichter,akademisch,auto
Abschlepper,sonstige,auto
Abstecher,sonstige,auto
Abteil. Leiter,sonstige,auto
Abteil. Vorsteher,sonstige,auto
Abteilg. Leiter,sonstige,auto
Abteilgs.-Vorsteh.,sonstige,auto
Abteilgsdirekt.,sonstige,auto
Abteilgsdirektor der Fried. Krupp A.G.,bildung,auto
Abteilgsleiterin,sonstige,auto
Abteilgsleitrin.,sonstige,auto
Abteilgssteig.,sonstige,auto
Abteilgsvorst.,sonstige,auto
Abteilungs Chef,sonstige,auto
Abteilungs Dir.,sonstige,auto
Abteilungs Direktor,verwaltung,auto
Abteilungs Direktor i. R.,verwaltung,auto
Abteilungs Leiter,sonstige,auto
Abteilungs Leiter i. R.,sonstige,auto
Abteilungs Leitrin.,sonstige,auto
Abteilungs Vorst.,sonstige,auto
Abteilungs Vorsteher,sonstige,auto
Abteilungs Vorsteher a. D.,sonstige,auto
Abteilungs Vorsteher i. R.,sonstige,auto
Abteilungs Vorsteherin,sonstige,auto
Abteilungsdirektor,bildung,auto
Abteilungsleit.,sonstige,auto
Abteilungsleit. a. D.,sonstige,auto
Abteilungsleiter,verwaltung,auto
Abteilungsleiter a. D.,verwaltung,auto
Abteilungsvorsteh.,sonstige,auto
Abteilungsvorsteher,verwaltung,auto
"Abteilungsvorsteher i. R., Diplom Ingenieur",akademisch,auto
Abtlgs.-Bevollmächt.,sonstige,auto
Abtlgs.-Vorsteh.,sonstige,auto
